,min_01,max_01,mean_01,std_01,min_02,max_02,mean_02,std_02,min_03,max_03,mean_03,std_03,min_04,max_04,mean_04,std_04,min_05,max_05,mean_05,std_05,min_06,max_06,mean_06,std_06,min_07,max_07,mean_07,std_07,min_08,max_08,mean_08,std_08,min_09,max_09,mean_09,std_09,min_10,max_10,mean_10,std_10,min_11,max_11,mean_11,std_11,min_12,max_12,mean_12,std_12,y
1749,19267,19513,19381.89230769231,69.8194645721098,13762,14909,14303.903846153846,236.95535603661267,10240,12190,11236.896153846154,485.32891383121995,5800,7684,6591.6,410.774841938051,9011,11829,10540.530769230769,813.5352310319311,20463,28033,24003.76153846154,1796.83443355186,25165,34013,29196.669230769232,1944.7847394761734,22642,33210,28129.580769230768,2245.022241883865,6488,8159,7061.296153846154,452.45800568481934,180,197,190.78846153846155,8.186143401320445,8946,14713,12263.626923076923,1892.0788981877727,3506,6373,4998.930769230769,922.3228926379436,1
1125,19726,20693,20049.605697151423,227.5002917715671,14156,15974,15142.173913043478,386.7040906329726,10813,13549,12331.976011994004,560.1602357178241,6783,10928,8506.683658170914,999.4211474962793,10551,17514,13512.667166416792,1577.4813223950273,21643,31588,27184.718140929534,2351.5060238548463,25149,37470,32548.674662668665,2951.4693797925083,23642,39174,32301.550224887556,3478.5568357828097,7176,10076,8173.329835082459,735.3758164086873,180,246,219.94452773613193,14.323157643024176,13140,29360,19984.376311844077,4116.971095273676,5702,13500,8872.287856071964,1993.3623612744818,1
337,19071,19398,19211.098039215685,60.537976489659066,13386,14876,13954.702317290552,234.19354279062915,9191,12353,10575.216280451574,473.1533144619023,5194,7176,5976.708853238265,327.00773905386563,7537,11813,9414.614973262032,705.8852010871798,18399,35897,24137.565062388592,2832.708640751847,22331,43548,30053.59595959596,3681.7904833049042,20332,49774,28957.482471776588,4608.979238771871,6373,9503,7646.749257278669,644.5134411852341,164,229,189.62091503267973,13.445034420150487,7831,18825,11306.733808674986,2033.5942485861144,2785,6881,4255.816399286988,772.7714906415056,1
229,20070,20349,20175.965307892453,68.0907295609212,13762,15548,14560.555073720729,256.9914681525931,9814,13517,11439.372072853426,638.1795671391529,5702,8307,6641.510841283608,403.56154893232286,9322,14631,11127.587163920209,1107.1970632811685,24838,41713,33251.4501300954,3489.7490377368827,31768,53575,42764.24978317433,4585.016011785371,24625,59178,41281.359930615785,5884.254067744106,8470,11206,9434.762359063314,599.120586291223,164,246,206.57155247181265,14.975734837723788,12534,24576,17122.533391153513,2254.2971068079605,4735,9503,6188.291413703382,901.5535883020054,0
2191,19366,19497,19412.986547085202,32.79252345892028,13779,15106,14312.213004484305,190.59976593004365,10060,12681,11412.109865470851,433.78761933913023,5489,8094,6508.719730941704,317.2294580781762,9355,11993,11089.585201793721,485.4819764595919,24723,37502,32372.437219730942,2729.69794553561,31899,48578,41241.358744394616,3778.4870873815007,26394,51183,40743.7197309417,4924.812709094177,7782,10010,8991.293721973094,462.0131628063494,180,213,197.7556053811659,9.526969152119781,12681,18940,16091.508968609865,1462.3383460267912,4555,6996,5902.659192825112,515.1044871959409,0
3843,19497,19644,19535.428571428572,34.7709494252488,13746,15024,14271.937662337663,232.9310722632431,9421,12386,10896.774025974026,535.7393515804523,5587,7750,6458.787012987013,377.64692689042107,8782,12239,9955.976623376624,753.1573588870664,19366,33521,24362.65974025974,3087.4532952673267,20938,42516,29917.174025974025,4136.884386764419,19742,48037,28760.88831168831,5103.237556586436,6979,8421,7554.168831168831,391.23569813609345,147,213,179.7064935064935,11.90959819905545,9257,18464,12924.023376623376,2113.162907156191,3572,7307,5023.579220779221,898.6795592521144,1
3502,19398,19890,19547.79012345679,96.24612431502771,13992,15122,14563.328395061728,235.79731473908882,10158,12534,11552.041975308643,485.86656270687325,5964,7422,6846.261728395062,287.17757339099626,9486,12370,10919.301234567902,654.1461784937538,24182,36306,29961.866666666665,2665.86240408819,31113,45006,37788.52345679012,3353.7610245728015,25821,46530,36813.933333333334,4458.575099073029,7242,8274,7801.928395061728,270.705976544535,147,229,208.3432098765432,18.62543686302869,12452,17727,15240.004938271604,1281.1389068875576,4719,6586,5688.395061728395,461.9672661967965,0
3963,19333,19906,19506.097537878788,106.39207058485091,13451,15565,14333.694602272728,270.75782224009316,9290,14205,11212.502367424242,650.6220057088271,5243,8946,6498.302556818182,442.27703340074726,8094,15827,10519.392518939394,1132.515040956753,19071,40714,26314.220170454544,3621.147370214179,22249,52248,32520.20975378788,4604.9090271917075,16498,55787,31325.357007575756,5440.40037340308,6439,9699,7442.870738636364,813.0005491116804,180,246,193.39251893939394,14.84314455382866,8470,26263,13977.47490530303,2845.101585622945,3097,11125,5361.144886363636,1193.0015239742618,1
418,19267,19792,19452.19600818833,114.90099856961518,13549,15073,14185.761514841352,236.19923635744976,9470,13123,10942.50153531218,456.08414232456664,5390,7995,6370.118730808597,366.65131881358934,8307,13123,9889.256397134084,728.3818233776414,18366,32555,23163.14713408393,2348.5841988523102,22347,40632,28188.38561924258,3009.0340588324802,18006,44171,27497.413766632548,3516.9417678065283,6078,8520,6757.126151484135,559.1455159307781,147,246,203.0585977482088,18.33793421847568,7897,17596,11220.316530194474,1748.3003803469317,3047,7405,4471.897645854657,765.001612085848,1
429,19185,19480,19342.105723905723,58.85156469945046,13222,14745,14102.04276094276,235.67406841158856,8700,12321,10781.192255892256,507.226139547604,4817,7160,6216.615824915825,317.85290239514853,7307,12026,9781.539393939394,796.0427132447545,16990,36093,25963.33265993266,3467.1827841973286,20250,44564,32492.967676767676,4589.127974825455,14582,47824,31688.71616161616,5472.713328659279,6521,8896,7720.70202020202,497.4259883657494,164,246,198.403367003367,16.390425536554837,7700,17694,12906.736026936027,1899.5029572303843,2884,6488,4805.391919191919,667.0884478396383,0
